time,node,idleness
87,4,240.0
87,5,255.0
87,6,540.0
87,7,510.0
87,8,225.0
88,0,330.0
88,1,255.0
88,2,165.0
88,3,630.0
88,4,255.0
88,5,270.0
88,6,555.0
88,7,525.0
88,8,240.0
89,0,345.0
89,1,270.0
89,2,180.0
89,3,645.0
89,4,270.0
89,5,285.0
89,6,570.0
89,7,540.0
89,8,255.0
90,0,15.0
90,1,285.0
90,2,195.0
90,3,660.0
90,4,285.0
90,5,300.0
90,6,15.0
90,7,555.0
90,8,270.0
91,0,15.0
91,1,300.0
91,2,210.0
91,3,15.0
91,4,300.0
91,5,315.0
91,6,30.0
91,7,570.0
91,8,285.0
92,0,30.0
92,1,315.0
92,2,225.0
92,3,30.0
92,4,315.0
92,5,330.0
92,6,45.0
92,7,15.0
92,8,300.0
93,0,45.0
93,1,330.0
93,2,240.0
93,3,45.0
93,4,330.0
93,5,345.0
93,6,60.0
93,7,15.0
93,8,15.0
94,0,60.0
94,1,345.0
94,2,255.0
94,3,60.0
94,4,345.0
94,5,360.0
94,6,75.0
94,7,30.0
94,8,30.0
95,0,75.0
95,1,360.0
95,2,270.0
95,3,75.0
95,4,360.0
95,5,375.0
95,6,90.0
95,7,45.0
95,8,45.0
96,0,90.0
96,1,375.0
96,2,285.0
96,3,90.0
96,4,375.0
96,5,390.0
96,6,105.0
96,7,60.0
96,8,60.0
97,0,105.0
97,1,390.0
97,2,300.0
97,3,105.0
97,4,390.0
97,5,405.0
97,6,120.0
97,7,75.0
97,8,75.0
98,0,120.0
98,1,405.0
98,2,315.0
98,3,120.0
98,4,15.0
98,5,420.0
98,6,135.0
98,7,90.0
98,8,90.0
99,0,135.0
99,1,420.0
99,2,330.0
99,3,135.0
99,4,30.0
99,5,435.0
99,6,150.0
99,7,105.0
99,8,105.0
100,0,150.0
100,1,435.0
100,2,345.0
100,3,150.0
100,4,45.0
100,5,450.0
100,6,165.0
100,7,120.0
100,8,120.0
101,0,165.0
101,1,450.0
101,2,360.0
101,3,165.0
101,4,60.0
101,5,465.0
101,6,180.0
101,7,135.0
101,8,135.0
102,0,180.0
102,1,465.0
102,2,375.0
102,3,15.0
102,4,75.0
102,5,480.0
102,6,195.0
102,7,150.0
102,8,150.0
103,0,195.0
103,1,480.0
103,2,390.0
103,3,30.0
103,4,90.0
103,5,15.0
103,6,210.0
103,7,165.0
103,8,165.0
104,0,210.0
104,1,495.0
104,2,405.0
104,3,45.0
104,4,105.0
104,5,30.0
104,6,225.0
104,7,180.0
104,8,180.0
105,0,225.0
105,1,510.0
105,2,420.0
105,3,60.0
105,4,120.0
105,5,45.0
105,6,240.0
105,7,195.0
105,8,195.0
106,0,240.0
106,1,525.0
106,2,435.0
106,3,75.0
106,4,135.0
106,5,60.0
106,6,255.0
106,7,210.0
106,8,210.0
107,0,255.0
107,1,540.0
107,2,450.0
107,3,90.0
107,4,150.0
107,5,75.0
107,6,270.0
107,7,225.0
107,8,225.0
108,0,270.0
108,1,555.0
108,2,465.0
108,3,105.0
108,4,165.0
108,5,90.0
108,6,285.0
108,7,240.0
108,8,240.0
109,0,285.0
109,1,570.0
109,2,480.0
109,3,120.0
109,4,180.0
109,5,105.0
109,6,300.0
109,7,255.0
109,8,15.0
110,0,300.0
110,1,585.0
110,2,495.0
110,3,135.0
110,4,195.0
110,5,120.0
110,6,315.0
110,7,15.0
110,8,15.0
111,0,315.0
111,1,600.0
111,2,510.0
111,3,150.0
111,4,210.0
111,5,135.0
111,6,330.0
111,7,30.0
111,8,15.0
112,0,330.0
112,1,615.0
112,2,525.0
112,3,165.0
112,4,225.0
112,5,150.0
112,6,345.0
112,7,45.0
112,8,30.0
113,0,345.0
113,1,630.0
113,2,540.0
113,3,180.0
113,4,240.0
113,5,165.0
113,6,360.0
113,7,60.0
113,8,45.0
114,0,360.0
114,1,645.0
114,2,555.0
114,3,195.0
114,4,255.0
114,5,180.0
114,6,375.0
114,7,75.0
114,8,60.0
115,0,375.0
115,1,660.0
115,2,570.0
115,3,210.0
115,4,270.0
115,5,195.0
115,6,390.0
115,7,15.0
115,8,75.0
116,0,15.0
116,1,675.0
116,2,585.0
116,3,225.0
116,4,285.0
116,5,210.0
116,6,405.0
116,7,30.0
116,8,90.0
117,0,15.0
117,1,15.0
117,2,600.0
117,3,240.0
117,4,300.0
117,5,225.0
117,6,420.0
117,7,45.0
117,8,105.0
118,0,30.0
118,1,30.0
118,2,615.0
118,3,255.0
118,4,315.0
118,5,240.0
118,6,435.0
118,7,60.0
118,8,120.0
119,0,45.0
119,1,45.0
119,2,630.0
119,3,270.0
119,4,330.0
119,5,255.0
119,6,450.0
119,7,75.0
119,8,135.0
120,0,60.0
120,1,60.0
120,2,645.0
120,3,285.0
120,4,345.0
120,5,270.0
120,6,465.0
120,7,90.0
120,8,150.0
121,0,75.0
121,1,75.0
121,2,660.0
121,3,300.0
121,4,360.0
121,5,285.0
121,6,480.0
121,7,105.0
121,8,165.0
122,0,90.0
122,1,90.0
122,2,675.0
122,3,315.0
122,4,375.0
122,5,300.0
122,6,495.0
122,7,120.0
122,8,180.0
123,0,105.0
123,1,15.0
123,2,690.0
123,3,330.0
123,4,390.0
123,5,315.0
123,6,510.0
123,7,135.0
123,8,195.0
124,0,120.0
124,1,15.0
124,2,705.0
124,3,345.0
124,4,15.0
124,5,330.0
124,6,15.0
124,7,150.0
124,8,210.0
125,0,135.0
125,1,30.0
125,2,720.0
125,3,360.0
125,4,30.0
125,5,345.0
125,6,30.0
125,7,165.0
125,8,225.0
126,0,150.0
126,1,45.0
126,2,735.0
126,3,375.0
126,4,45.0
126,5,360.0
126,6,45.0
126,7,180.0
126,8,240.0
127,0,165.0
127,1,60.0
127,2,750.0
127,3,390.0
127,4,60.0
127,5,375.0
127,6,60.0
127,7,195.0
127,8,255.0
128,0,180.0
128,1,75.0
128,2,765.0
128,3,405.0
128,4,75.0
128,5,390.0
128,6,75.0
128,7,210.0
128,8,15.0
129,0,195.0
129,1,90.0
129,2,780.0
129,3,420.0
129,4,15.0
129,5,405.0
129,6,90.0
129,7,15.0
129,8,15.0
130,0,210.0
130,1,105.0
130,2,795.0
130,3,435.0
130,4,30.0
130,5,420.0
130,6,105.0
130,7,15.0
130,8,30.0
131,0,225.0
131,1,120.0
131,2,15.0
131,3,450.0
131,4,45.0
131,5,435.0
131,6,120.0
131,7,15.0
131,8,45.0
132,0,240.0
132,1,135.0
132,2,30.0
132,3,465.0
132,4,60.0
132,5,450.0
132,6,135.0
132,7,30.0
132,8,60.0
133,0,255.0
133,1,150.0
133,2,45.0
133,3,480.0
133,4,75.0
133,5,465.0
133,6,150.0
133,7,45.0
133,8,75.0
134,0,270.0
134,1,165.0
134,2,60.0
134,3,495.0
134,4,90.0
134,5,480.0
134,6,165.0
134,7,60.0
134,8,90.0
135,0,285.0
135,1,15.0
135,2,75.0
135,3,510.0
135,4,105.0
135,5,495.0
135,6,15.0
135,7,75.0
135,8,105.0
136,0,300.0
136,1,30.0
136,2,90.0
136,3,525.0
136,4,120.0
136,5,510.0
136,6,30.0
136,7,90.0
136,8,120.0
137,0,315.0
137,1,45.0
137,2,105.0
137,3,540.0
137,4,135.0
137,5,525.0
137,6,45.0
137,7,105.0
137,8,135.0
138,0,330.0
138,1,60.0
138,2,120.0
138,3,555.0
138,4,150.0
138,5,540.0
138,6,60.0
138,7,120.0
138,8,150.0
139,0,345.0
139,1,75.0
139,2,135.0
139,3,570.0
139,4,165.0
139,5,555.0
139,6,75.0
139,7,135.0
139,8,165.0
140,0,360.0
140,1,90.0
140,2,150.0
140,3,585.0
140,4,180.0
140,5,570.0
140,6,90.0
140,7,150.0
140,8,180.0
141,0,375.0
141,1,105.0
141,2,165.0
141,3,600.0
141,4,15.0
141,5,585.0
141,6,105.0
141,7,165.0
141,8,195.0
142,0,390.0
142,1,120.0
142,2,180.0
142,3,615.0
142,4,30.0
142,5,600.0
142,6,120.0
142,7,180.0
142,8,210.0
143,0,405.0
143,1,135.0
143,2,195.0
143,3,630.0
143,4,45.0
143,5,615.0
143,6,135.0
143,7,195.0
143,8,225.0
144,0,420.0
144,1,150.0
144,2,210.0
144,3,645.0
144,4,60.0
144,5,630.0
144,6,150.0
144,7,210.0
144,8,240.0
145,0,435.0
145,1,165.0
145,2,225.0
145,3,660.0
145,4,75.0
145,5,645.0
145,6,165.0
145,7,225.0
145,8,255.0
146,0,450.0
146,1,180.0
146,2,240.0
146,3,675.0
146,4,90.0
146,5,660.0
146,6,180.0
146,7,240.0
146,8,270.0
147,0,465.0
147,1,195.0
147,2,255.0
147,3,690.0
147,4,105.0
147,5,675.0
147,6,195.0
147,7,15.0
147,8,285.0
148,0,480.0
148,1,15.0
148,2,270.0
148,3,705.0
148,4,120.0
148,5,690.0
148,6,210.0
148,7,30.0
148,8,300.0
149,0,495.0
149,1,15.0
149,2,15.0
149,3,15.0
149,4,15.0
149,5,705.0
149,6,225.0
149,7,45.0
149,8,315.0
150,0,510.0
150,1,30.0
150,2,30.0
150,3,30.0
150,4,30.0
150,5,720.0
150,6,240.0
150,7,60.0
150,8,330.0
151,0,525.0
151,1,45.0
151,2,45.0
151,3,45.0
151,4,45.0
151,5,735.0
151,6,255.0
151,7,75.0
151,8,345.0
152,0,540.0
152,1,60.0
152,2,60.0
152,3,60.0
152,4,60.0
152,5,750.0
152,6,270.0
152,7,90.0
152,8,360.0
153,0,555.0
153,1,75.0
153,2,75.0
153,3,75.0
153,4,75.0
153,5,765.0
153,6,285.0
153,7,105.0
153,8,375.0
154,0,570.0
154,1,90.0
154,2,90.0
154,3,90.0
154,4,15.0
154,5,780.0
154,6,300.0
154,7,120.0
154,8,390.0
155,0,585.0
155,1,105.0
155,2,105.0
155,3,105.0
155,4,30.0
155,5,795.0
155,6,315.0
155,7,135.0
155,8,405.0
156,0,600.0
156,1,120.0
156,2,120.0
156,3,120.0
156,4,45.0
156,5,810.0
156,6,330.0
156,7,150.0
156,8,420.0
157,0,15.0
157,1,135.0
157,2,135.0
157,3,135.0
157,4,60.0
157,5,825.0
157,6,345.0
157,7,165.0
157,8,435.0
158,0,15.0
158,1,15.0
158,2,150.0
158,3,150.0
158,4,75.0
158,5,840.0
158,6,360.0
158,7,180.0
158,8,450.0
159,0,30.0
159,1,30.0
159,2,165.0
159,3,165.0
159,4,90.0
159,5,855.0
159,6,375.0
159,7,195.0
159,8,465.0
160,0,45.0
160,1,45.0
160,2,180.0
160,3,180.0
160,4,105.0
160,5,870.0
160,6,390.0
160,7,210.0
160,8,480.0
161,0,60.0
161,1,60.0
161,2,195.0
161,3,15.0
161,4,120.0
161,5,885.0
161,6,405.0
161,7,225.0
161,8,495.0
162,0,75.0
162,1,75.0
162,2,210.0
162,3,30.0
162,4,135.0
162,5,900.0
162,6,420.0
162,7,240.0
162,8,510.0
163,0,90.0
163,1,90.0
163,2,225.0
163,3,45.0
163,4,150.0
163,5,915.0
163,6,435.0
163,7,255.0
163,8,525.0
164,0,105.0
164,1,105.0
164,2,240.0
164,3,60.0
164,4,165.0
164,5,930.0
164,6,450.0
164,7,270.0
164,8,540.0
165,0,120.0
165,1,120.0
165,2,255.0
165,3,75.0
165,4,180.0
165,5,945.0
165,6,465.0
165,7,285.0
165,8,555.0
166,0,135.0
166,1,135.0
166,2,270.0
166,3,90.0
166,4,195.0
166,5,960.0
166,6,480.0
166,7,300.0
166,8,15.0
167,0,150.0
167,1,150.0
167,2,285.0
167,3,105.0
167,4,210.0
167,5,15.0
167,6,495.0
167,7,315.0
167,8,15.0
168,0,165.0
168,1,165.0
168,2,300.0
168,3,120.0
168,4,225.0
168,5,30.0
168,6,510.0
168,7,15.0
168,8,30.0
169,0,180.0
169,1,180.0
169,2,315.0
169,3,135.0
169,4,15.0
169,5,45.0
169,6,525.0
169,7,15.0
169,8,15.0
170,0,195.0
170,1,195.0
170,2,330.0
170,3,150.0
170,4,30.0
170,5,60.0
170,6,540.0
170,7,30.0
170,8,30.0
171,0,210.0
171,1,210.0
171,2,345.0
171,3,165.0
171,4,45.0
171,5,75.0
171,6,555.0
171,7,45.0
171,8,45.0
172,0,225.0
172,1,225.0
172,2,360.0
172,3,180.0
172,4,60.0
172,5,90.0
172,6,570.0
172,7,60.0
172,8,60.0
173,0,240.0
173,1,240.0
173,2,375.0
173,3,195.0
173,4,75.0
173,5,105.0
173,6,585.0
173,7,75.0
173,8,75.0
174,0,255.0
174,1,255.0
174,2,390.0
174,3,210.0
174,4,90.0
174,5,120.0
174,6,600.0
174,7,90.0
174,8,90.0
175,0,270.0
175,1,15.0
175,2,405.0
175,3,225.0
175,4,105.0
175,5,135.0
175,6,615.0
175,7,105.0
175,8,105.0
176,0,285.0
176,1,15.0
176,2,420.0
176,3,240.0
176,4,15.0
176,5,150.0
176,6,15.0
176,7,120.0
176,8,120.0
177,0,300.0
177,1,30.0
177,2,435.0
177,3,255.0
177,4,30.0
177,5,165.0
177,6,30.0
177,7,135.0
177,8,135.0
178,0,315.0
178,1,45.0
178,2,450.0
178,3,270.0
178,4,45.0
178,5,180.0
178,6,45.0
178,7,150.0
178,8,150.0
179,0,330.0
179,1,60.0
179,2,465.0
179,3,285.0
179,4,60.0
179,5,195.0
179,6,60.0
179,7,165.0
179,8,165.0
180,0,345.0
180,1,75.0
180,2,480.0
180,3,300.0
180,4,75.0
180,5,210.0
180,6,75.0
180,7,180.0
180,8,15.0
181,0,360.0
181,1,90.0
181,2,495.0
181,3,315.0
181,4,90.0
181,5,225.0
181,6,90.0
181,7,195.0
181,8,30.0
182,0,375.0
182,1,15.0
182,2,510.0
182,3,330.0
182,4,15.0
182,5,240.0
182,6,105.0
182,7,210.0
182,8,45.0
183,0,390.0
183,1,30.0
183,2,525.0
183,3,345.0
183,4,30.0
183,5,255.0
183,6,120.0
183,7,225.0
183,8,60.0
184,0,405.0
184,1,45.0
184,2,540.0
184,3,360.0
184,4,45.0
184,5,270.0
184,6,135.0
184,7,240.0
184,8,75.0
185,0,420.0
185,1,60.0
185,2,555.0
185,3,375.0
185,4,60.0
185,5,15.0
185,6,150.0
185,7,255.0
185,8,90.0
186,0,435.0
186,1,75.0
186,2,570.0
186,3,390.0
186,4,75.0
186,5,30.0
186,6,165.0
186,7,270.0
186,8,105.0
187,0,450.0
187,1,90.0
187,2,585.0
187,3,405.0
187,4,90.0
187,5,45.0
187,6,180.0
187,7,285.0
187,8,120.0
188,0,465.0
188,1,105.0
188,2,600.0
188,3,420.0
188,4,105.0
188,5,60.0
188,6,15.0
188,7,300.0
188,8,135.0
189,0,480.0
189,1,120.0
189,2,615.0
189,3,435.0
189,4,120.0
189,5,75.0
189,6,30.0
189,7,315.0
189,8,150.0
190,0,495.0
190,1,135.0
190,2,630.0
190,3,450.0
190,4,135.0
190,5,90.0
190,6,45.0
190,7,330.0
190,8,165.0
191,0,510.0
191,1,150.0
191,2,645.0
191,3,465.0
191,4,150.0
191,5,105.0
191,6,60.0
191,7,345.0
191,8,180.0
192,0,525.0
192,1,165.0
192,2,660.0
192,3,480.0
192,4,165.0
192,5,120.0
192,6,75.0
192,7,360.0
192,8,195.0
193,0,540.0
193,1,180.0
193,2,675.0
193,3,495.0
193,4,180.0
193,5,135.0
193,6,90.0
193,7,15.0
193,8,210.0
194,0,15.0
194,1,195.0
194,2,15.0
194,3,510.0
194,4,195.0
194,5,150.0
194,6,105.0
194,7,15.0
