time,node,"idleness,t_imp"
107.19999999999818,22,1.4000000000000001,0.0
107.19999999999818,23,2.0000000000000004,0.0
107.19999999999818,24,2.500000000000001,1.4999999999999991
107.29999999999818,0,2.700000000000001,1.299999999999999
107.29999999999818,1,3.2000000000000015,0.0
107.29999999999818,2,3.800000000000002,0.0
107.29999999999818,3,0.5,0.0
107.29999999999818,4,0.5,3.5
107.29999999999818,5,2.1000000000000005,0.0
107.29999999999818,6,1.5000000000000002,0.0
107.29999999999818,7,0.9999999999999999,0.0
107.29999999999818,8,0.4,0.0
107.29999999999818,9,1.0999999999999999,0.0
107.29999999999818,10,2.700000000000001,0.0
107.29999999999818,11,2.1000000000000005,0.0
107.29999999999818,12,1.6000000000000003,0.0
107.29999999999818,13,0.4,0.0
107.29999999999818,14,1.7000000000000004,0.0
107.29999999999818,15,0.5,0.0
107.29999999999818,16,0.5,0.0
107.29999999999818,17,0.9999999999999999,0.0
107.29999999999818,18,2.800000000000001,0.0
107.29999999999818,19,2.3000000000000007,0.0
107.29999999999818,20,0.30000000000000004,3.7
107.29999999999818,21,0.30000000000000004,0.0
107.29999999999818,22,1.5000000000000002,0.0
107.29999999999818,23,2.1000000000000005,0.0
107.29999999999818,24,2.600000000000001,1.399999999999999
107.39999999999817,0,2.800000000000001,1.1999999999999988
107.39999999999817,1,3.3000000000000016,0.0
107.39999999999817,2,0.0,0.0
107.39999999999817,3,0.0,0.0
107.39999999999817,4,0.6,3.4
107.39999999999817,5,2.2000000000000006,0.0
107.39999999999817,6,1.6000000000000003,0.0
107.39999999999817,7,1.0999999999999999,0.0
107.39999999999817,8,0.5,0.0
107.39999999999817,9,1.2,0.0
107.39999999999817,10,0.0,0.0
107.39999999999817,11,2.2000000000000006,0.0
107.39999999999817,12,1.7000000000000004,0.0
107.39999999999817,13,0.5,0.0
107.39999999999817,14,1.8000000000000005,0.0
107.39999999999817,15,0.0,0.0
107.39999999999817,16,0.6,0.0
107.39999999999817,17,1.0999999999999999,0.0
107.39999999999817,18,2.9000000000000012,0.0
107.39999999999817,19,2.400000000000001,0.0
107.39999999999817,20,0.4,3.6
107.39999999999817,21,0.4,0.0
107.39999999999817,22,1.6000000000000003,0.0
